mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_iter,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0267954111099,0.000584387779236,0.780056747248,0.784636967445,10,{'max_iter': 10},20,0.755555555556,0.784019975031,0.766666666667,0.790262172285,0.786516853933,0.785536159601,0.876404494382,0.771820448878,0.775280898876,0.784289276808,0.752808988764,0.781795511222,0.76404494382,0.784289276808,0.741573033708,0.793017456359,0.808988764045,0.785536159601,0.772727272727,0.785803237858,0.00477034795746,5.43426448002e-05,0.0367391207409,0.00527079009749
0.0389408111572,0.000568819046021,0.810395528317,0.816561068283,20,{'max_iter': 20},19,0.8,0.81897627965,0.788888888889,0.8177278402,0.775280898876,0.820448877805,0.85393258427,0.816708229426,0.808988764045,0.817955112219,0.797752808989,0.812967581047,0.797752808989,0.812967581047,0.808988764045,0.820448877805,0.831460674157,0.810473815461,0.840909090909,0.816936488169,0.0017333537905,2.80678114027e-05,0.0232326656608,0.0032001817347
0.0931555986404,0.000583004951477,0.814877425945,0.817558262798,30,{'max_iter': 30},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.820448877805,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.0455553164567,0.000113597736445,0.0214968374796,0.00230201707946
0.0707688093185,0.000559306144714,0.814877425945,0.817682951078,40,{'max_iter': 40},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.0171988220902,3.31846545984e-05,0.0214968374796,0.00248194656667
0.0591534137726,0.000573992729187,0.814877425945,0.817682951078,50,{'max_iter': 50},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.00370809918782,8.49661232081e-05,0.0214968374796,0.00248194656667
0.0599234342575,0.000563859939575,0.814877425945,0.817682951078,60,{'max_iter': 60},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.00367059117565,1.75340615731e-05,0.0214968374796,0.00248194656667
0.0578851938248,0.000557947158813,0.814877425945,0.817682951078,70,{'max_iter': 70},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.00397045915274,4.86439111489e-05,0.0214968374796,0.00248194656667
0.0714788913727,0.000648808479309,0.814877425945,0.817682951078,80,{'max_iter': 80},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.013262294533,9.77358020223e-05,0.0214968374796,0.00248194656667
0.068568778038,0.000534844398499,0.814877425945,0.817682951078,90,{'max_iter': 90},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.0155188984065,5.37915906509e-05,0.0214968374796,0.00248194656667
0.0585182666779,0.000568222999573,0.814877425945,0.817682951078,100,{'max_iter': 100},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.00346259306617,0.000104497971119,0.0214968374796,0.00248194656667
0.0647649765015,0.000558471679688,0.814877425945,0.817682951078,110,{'max_iter': 110},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.0151935290298,2.03387118931e-05,0.0214968374796,0.00248194656667
0.0749611616135,0.000617814064026,0.814877425945,0.817682951078,120,{'max_iter': 120},1,0.8,0.816479400749,0.8,0.816479400749,0.786516853933,0.821695760599,0.85393258427,0.816708229426,0.808988764045,0.816708229426,0.797752808989,0.821695760599,0.808988764045,0.81421446384,0.808988764045,0.820448877805,0.842696629213,0.816708229426,0.840909090909,0.815691158157,0.035479908357,9.68258945389e-05,0.0214968374796,0.00248194656667
