mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.17917201519,0.0023738861084,0.819385143571,0.872053595487,0.5,{'subsample': 0.5},5,0.811111111111,0.870162297129,0.811111111111,0.868913857678,0.76404494382,0.88029925187,0.786516853933,0.876558603491,0.808988764045,0.864089775561,0.842696629213,0.876558603491,0.85393258427,0.865336658354,0.797752808989,0.877805486284,0.842696629213,0.871571072319,0.875,0.869240348692,0.0399832204481,0.00136193362245,0.031983140317,0.00521332055947
0.173212528229,0.00185036659241,0.818261831801,0.871928440986,0.55,{'subsample': 0.55},7,0.833333333333,0.873907615481,0.8,0.863920099875,0.775280898876,0.886533665835,0.775280898876,0.872817955112,0.831460674157,0.862842892768,0.820224719101,0.876558603491,0.842696629213,0.871571072319,0.786516853933,0.866583541147,0.831460674157,0.872817955112,0.886363636364,0.871731008717,0.0319741510926,0.000958737119363,0.0329397880747,0.00644721614411
0.192293548584,0.00350131988525,0.812643570537,0.874175162286,0.6,{'subsample': 0.6},10,0.822222222222,0.868913857678,0.8,0.878901373283,0.786516853933,0.887780548628,0.741573033708,0.872817955112,0.820224719101,0.875311720698,0.842696629213,0.876558603491,0.842696629213,0.874064837905,0.808988764045,0.874064837905,0.786516853933,0.870324189526,0.875,0.86301369863,0.0699261502219,0.00569116900842,0.0352609850703,0.00619170499531
0.162970328331,0.00287051200867,0.81600102145,0.8754217384,0.65,{'subsample': 0.65},8,0.811111111111,0.882646691635,0.788888888889,0.877652933833,0.786516853933,0.889027431421,0.76404494382,0.864089775561,0.820224719101,0.86783042394,0.831460674157,0.881546134663,0.865168539326,0.870324189526,0.808988764045,0.876558603491,0.842696629213,0.866583541147,0.840909090909,0.87795765878,0.0351408450629,0.00163355224416,0.0289555755282,0.00760042644275
0.158953022957,0.0031585931778,0.819397627965,0.876542998919,0.7,{'subsample': 0.7},4,0.822222222222,0.878901373283,0.788888888889,0.873907615481,0.775280898876,0.886533665835,0.820224719101,0.876558603491,0.85393258427,0.869077306733,0.808988764045,0.875311720698,0.820224719101,0.875311720698,0.797752808989,0.879052369077,0.831460674157,0.872817955112,0.875,0.87795765878,0.0251747216857,0.00322587066471,0.0280945940363,0.00439617616628
0.206793022156,0.00186777114868,0.819384859834,0.877166130147,0.75,{'subsample': 0.75},6,0.822222222222,0.877652933833,0.788888888889,0.876404494382,0.797752808989,0.890274314214,0.786516853933,0.871571072319,0.85393258427,0.872817955112,0.831460674157,0.869077306733,0.820224719101,0.872817955112,0.797752808989,0.885286783042,0.831460674157,0.874064837905,0.863636363636,0.881693648817,0.058731628707,0.000948443066258,0.0252949574577,0.0063501967475
0.180840373039,0.00467801094055,0.814865225287,0.880783490851,0.8,{'subsample': 0.8},9,0.822222222222,0.881398252185,0.8,0.882646691635,0.786516853933,0.891521197007,0.775280898876,0.877805486284,0.808988764045,0.876558603491,0.842696629213,0.872817955112,0.831460674157,0.88029925187,0.797752808989,0.887780548628,0.831460674157,0.876558603491,0.852272727273,0.880448318804,0.0431532467951,0.00752927943448,0.0238699456778,0.00525805139387
0.167766022682,0.00142939090729,0.820495970945,0.880158494735,0.85,{'subsample': 0.85},3,0.822222222222,0.880149812734,0.8,0.877652933833,0.786516853933,0.884039900249,0.786516853933,0.875311720698,0.842696629213,0.874064837905,0.85393258427,0.885286783042,0.820224719101,0.876558603491,0.797752808989,0.88029925187,0.831460674157,0.881546134663,0.863636363636,0.886674968867,0.0216265703045,0.000407888565572,0.0261567296961,0.00406983343496
0.186973166466,0.00144391059875,0.812605266145,0.880782402741,0.9,{'subsample': 0.9},11,0.822222222222,0.883895131086,0.8,0.876404494382,0.76404494382,0.884039900249,0.797752808989,0.879052369077,0.85393258427,0.877805486284,0.797752808989,0.884039900249,0.831460674157,0.872817955112,0.786516853933,0.881546134663,0.831460674157,0.882793017456,0.840909090909,0.885429638854,0.0408923899388,0.000359909800983,0.0263654816839,0.0038934287583
0.184767317772,0.00160911083221,0.821581545795,0.881280689637,0.95,{'subsample': 0.95},2,0.833333333333,0.882646691635,0.8,0.876404494382,0.775280898876,0.886533665835,0.831460674157,0.879052369077,0.831460674157,0.881546134663,0.831460674157,0.877805486284,0.842696629213,0.88029925187,0.808988764045,0.877805486284,0.820224719101,0.882793017456,0.840909090909,0.887920298879,0.0402906754975,0.000784435607885,0.0200505085839,0.00360224537257
0.12339053154,0.0021205663681,0.829459482465,0.879160521116,1.0,{'subsample': 1.0},1,0.833333333333,0.880149812734,0.8,0.87265917603,0.797752808989,0.885286783042,0.85393258427,0.879052369077,0.831460674157,0.871571072319,0.831460674157,0.881546134663,0.876404494382,0.881546134663,0.786516853933,0.875311720698,0.831460674157,0.879052369077,0.852272727273,0.885429638854,0.0245525545013,0.0011378202104,0.0265847242132,0.004515504442
