mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0744830131531,0.00087308883667,0.824915824916,0.884274920276,3,{'max_depth': 3},1,0.833333333333,0.892634207241,0.811111111111,0.878901373283,0.786516853933,0.890274314214,0.865168539326,0.882793017456,0.842696629213,0.876558603491,0.831460674157,0.885286783042,0.842696629213,0.884039900249,0.775280898876,0.885286783042,0.820224719101,0.88029925187,0.840909090909,0.886674968867,0.00448854720398,6.04618422891e-05,0.0260100260204,0.00469203722919
0.0933113098145,0.000849008560181,0.819304152637,0.920065914818,4,{'max_depth': 4},2,0.777777777778,0.930087390762,0.8,0.917602996255,0.775280898876,0.925187032419,0.797752808989,0.920199501247,0.865168539326,0.920199501247,0.820224719101,0.911471321696,0.876404494382,0.92144638404,0.797752808989,0.917705735661,0.842696629213,0.917705735661,0.840909090909,0.919053549191,0.00083013318899,5.34140631491e-05,0.033687452671,0.00469782913449
0.125890016556,0.000896000862122,0.81593714927,0.949744693022,5,{'max_depth': 5},4,0.811111111111,0.953807740325,0.8,0.950062421973,0.752808988764,0.952618453865,0.797752808989,0.952618453865,0.842696629213,0.947630922693,0.831460674157,0.9463840399,0.831460674157,0.950124688279,0.820224719101,0.945137157107,0.831460674157,0.947630922693,0.840909090909,0.951432129514,0.00239145835573,5.61183298486e-05,0.0258122669063,0.00278527508095
0.167830014229,0.000972008705139,0.813692480359,0.973564207494,6,{'max_depth': 6},5,0.722222222222,0.977528089888,0.844444444444,0.977528089888,0.76404494382,0.978802992519,0.752808988764,0.973815461347,0.898876404494,0.972568578554,0.842696629213,0.972568578554,0.842696629213,0.970074812968,0.808988764045,0.972568578554,0.820224719101,0.970074812968,0.840909090909,0.970112079701,0.00512632698016,9.12304541704e-05,0.0502955057006,0.00313329682405
0.212355613708,0.00107133388519,0.813692480359,0.989525246667,7,{'max_depth': 7},5,0.744444444444,0.992509363296,0.866666666667,0.987515605493,0.76404494382,0.992518703242,0.719101123596,0.991271820449,0.898876404494,0.995012468828,0.831460674157,0.986284289277,0.85393258427,0.98753117207,0.808988764045,0.985037406484,0.820224719101,0.990024937656,0.829545454545,0.987546699875,0.00542133191092,2.06851305198e-05,0.0534526227641,0.00306348992641
0.270168089867,0.00112009048462,0.817059483726,0.99862842854,8,{'max_depth': 8},3,0.777777777778,1.0,0.866666666667,0.998751560549,0.775280898876,1.0,0.719101123596,0.998753117207,0.876404494382,1.0,0.820224719101,0.997506234414,0.842696629213,0.998753117207,0.831460674157,0.995012468828,0.831460674157,0.998753117207,0.829545454545,0.998754669988,0.0100093095195,4.52619949232e-05,0.0448616082304,0.00141618675644
0.330523586273,0.00121376514435,0.803591470258,1.0,9,{'max_depth': 9},7,0.711111111111,1.0,0.855555555556,1.0,0.752808988764,1.0,0.76404494382,1.0,0.842696629213,1.0,0.831460674157,1.0,0.831460674157,1.0,0.820224719101,1.0,0.808988764045,1.0,0.818181818182,1.0,0.0139043201601,0.000111055131018,0.043703007368,0.0
0.390443301201,0.00130617618561,0.791245791246,1.0,10,{'max_depth': 10},8,0.677777777778,1.0,0.855555555556,1.0,0.730337078652,1.0,0.786516853933,1.0,0.786516853933,1.0,0.808988764045,1.0,0.820224719101,1.0,0.808988764045,1.0,0.808988764045,1.0,0.829545454545,1.0,0.0215929528405,7.55973583775e-05,0.0491568045438,0.0
0.415315651894,0.00132205486298,0.766554433221,1.0,11,{'max_depth': 11},12,0.711111111111,1.0,0.7,1.0,0.752808988764,1.0,0.752808988764,1.0,0.752808988764,1.0,0.696629213483,1.0,0.808988764045,1.0,0.808988764045,1.0,0.842696629213,1.0,0.840909090909,1.0,0.0206965483173,3.67782509431e-05,0.0527998692668,0.0
0.42403960228,0.00128228664398,0.767676767677,1.0,12,{'max_depth': 12},10,0.688888888889,1.0,0.755555555556,1.0,0.775280898876,1.0,0.752808988764,1.0,0.640449438202,1.0,0.786516853933,1.0,0.842696629213,1.0,0.808988764045,1.0,0.820224719101,1.0,0.806818181818,1.0,0.0197518694303,0.000124705409287,0.0590068898388,0.0
0.414314293861,0.00130276679993,0.767676767677,1.0,13,{'max_depth': 13},10,0.666666666667,1.0,0.8,1.0,0.719101123596,1.0,0.775280898876,1.0,0.786516853933,1.0,0.752808988764,1.0,0.752808988764,1.0,0.808988764045,1.0,0.797752808989,1.0,0.818181818182,1.0,0.0124620582534,9.12864109559e-05,0.0443845615502,0.0
0.395745182037,0.00142979621887,0.768799102132,1.0,14,{'max_depth': 14},9,0.677777777778,1.0,0.811111111111,1.0,0.752808988764,1.0,0.775280898876,1.0,0.741573033708,1.0,0.752808988764,1.0,0.775280898876,1.0,0.786516853933,1.0,0.808988764045,1.0,0.806818181818,1.0,0.026058736679,0.00054932163198,0.0385573319896,0.0
0.38886783123,0.00120811462402,0.750841750842,1.0,15,{'max_depth': 15},14,0.677777777778,1.0,0.8,1.0,0.752808988764,1.0,0.629213483146,1.0,0.786516853933,1.0,0.696629213483,1.0,0.797752808989,1.0,0.76404494382,1.0,0.775280898876,1.0,0.829545454545,1.0,0.0297644605825,7.41641067372e-05,0.0599229515413,0.0
0.362615990639,0.00116987228394,0.758698092031,1.0,16,{'max_depth': 16},13,0.677777777778,1.0,0.8,1.0,0.752808988764,1.0,0.752808988764,1.0,0.662921348315,1.0,0.696629213483,1.0,0.797752808989,1.0,0.808988764045,1.0,0.797752808989,1.0,0.840909090909,1.0,0.0187830940389,9.52418692837e-05,0.0580227143785,0.0
0.360957360268,0.0011411190033,0.744107744108,1.0,17,{'max_depth': 17},17,0.677777777778,1.0,0.788888888889,1.0,0.752808988764,1.0,0.640449438202,1.0,0.662921348315,1.0,0.685393258427,1.0,0.797752808989,1.0,0.808988764045,1.0,0.797752808989,1.0,0.829545454545,1.0,0.0173545555529,0.000104642715612,0.0666851642764,0.0
0.353127789497,0.00115020275116,0.742985409652,1.0,18,{'max_depth': 18},18,0.677777777778,1.0,0.788888888889,1.0,0.752808988764,1.0,0.629213483146,1.0,0.662921348315,1.0,0.685393258427,1.0,0.797752808989,1.0,0.808988764045,1.0,0.808988764045,1.0,0.818181818182,1.0,0.0122591301478,0.000109047771277,0.0681538033653,0.0
0.348259592056,0.00110504627228,0.745230078563,1.0,19,{'max_depth': 19},16,0.677777777778,1.0,0.788888888889,1.0,0.752808988764,1.0,0.629213483146,1.0,0.662921348315,1.0,0.696629213483,1.0,0.797752808989,1.0,0.808988764045,1.0,0.808988764045,1.0,0.829545454545,1.0,0.00861011932868,9.18917569082e-05,0.0685914164007,0.0
0.351815509796,0.00113101005554,0.746352413019,1.0,20,{'max_depth': 20},15,0.677777777778,1.0,0.8,1.0,0.752808988764,1.0,0.629213483146,1.0,0.662921348315,1.0,0.707865168539,1.0,0.797752808989,1.0,0.808988764045,1.0,0.797752808989,1.0,0.829545454545,1.0,0.0123500393701,9.92981067558e-05,0.0677274223285,0.0
