mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.0445143938065,0.00165121555328,0.616170128249,0.61616172317,0.01,10,"{'n_estimators': 10, 'learning_rate': 0.01}",188,0.611111111111,0.616729088639,0.611111111111,0.616729088639,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.613636363636,0.616438356164,0.00741231014209,0.000544698278712,0.00283679627765,0.000317001102136
0.0684928894043,0.00217626094818,0.616170128249,0.61616172317,0.01,20,"{'n_estimators': 20, 'learning_rate': 0.01}",188,0.611111111111,0.616729088639,0.611111111111,0.616729088639,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.61797752809,0.615960099751,0.613636363636,0.616438356164,0.00805736433808,0.00226114187502,0.00283679627765,0.000317001102136
0.136579990387,0.00188231468201,0.791381511747,0.795361096561,0.01,30,"{'n_estimators': 30, 'learning_rate': 0.01}",186,0.755555555556,0.80024968789,0.744444444444,0.791510611735,0.76404494382,0.799251870324,0.842696629213,0.780548628429,0.820224719101,0.793017456359,0.808988764045,0.802992518703,0.808988764045,0.78927680798,0.752808988764,0.809226932668,0.786516853933,0.791770573566,0.829545454545,0.795765877958,0.0337691837991,0.00105431044253,0.0335962332456,0.00761143105055
0.151573872566,0.00164082050323,0.795863409375,0.796982355911,0.01,40,"{'n_estimators': 40, 'learning_rate': 0.01}",181,0.755555555556,0.80024968789,0.755555555556,0.795255930087,0.76404494382,0.799251870324,0.842696629213,0.780548628429,0.820224719101,0.793017456359,0.808988764045,0.802992518703,0.808988764045,0.794264339152,0.752808988764,0.809226932668,0.820224719101,0.798004987531,0.829545454545,0.79701120797,0.0321391917518,0.001274245691,0.0331283434303,0.00706456274088
0.165438389778,0.00180284976959,0.795863409375,0.798853302764,0.01,50,"{'n_estimators': 50, 'learning_rate': 0.01}",181,0.755555555556,0.80024968789,0.755555555556,0.80024968789,0.76404494382,0.799251870324,0.842696629213,0.780548628429,0.820224719101,0.793017456359,0.808988764045,0.802992518703,0.808988764045,0.802992518703,0.752808988764,0.809226932668,0.820224719101,0.802992518703,0.829545454545,0.79701120797,0.0407286474124,0.0010843949176,0.0331283434303,0.00731834462917
0.181538200378,0.00181241035461,0.799209510839,0.805338184111,0.01,60,"{'n_estimators': 60, 'learning_rate': 0.01}",172,0.755555555556,0.80024968789,0.788888888889,0.812734082397,0.76404494382,0.799251870324,0.842696629213,0.780548628429,0.820224719101,0.793017456359,0.786516853933,0.825436408978,0.808988764045,0.802992518703,0.76404494382,0.835411471322,0.820224719101,0.802992518703,0.840909090909,0.800747198007,0.0279371224476,0.000963047792742,0.0304224856452,0.0149143568962
0.226094675064,0.00328140258789,0.805964135739,0.822295331241,0.01,70,"{'n_estimators': 70, 'learning_rate': 0.01}",157,0.755555555556,0.80024968789,0.8,0.835205992509,0.797752808989,0.832917705736,0.842696629213,0.804239401496,0.831460674157,0.829177057357,0.786516853933,0.825436408978,0.797752808989,0.83042394015,0.76404494382,0.835411471322,0.820224719101,0.802992518703,0.863636363636,0.826899128269,0.0562617692722,0.0049859521436,0.0322112755454,0.0133441839766
0.281891798973,0.00223371982574,0.815976052661,0.8307772491,0.01,80,"{'n_estimators': 80, 'learning_rate': 0.01}",139,0.822222222222,0.830212234707,0.8,0.835205992509,0.797752808989,0.836658354115,0.865168539326,0.816708229426,0.831460674157,0.829177057357,0.808988764045,0.831670822943,0.797752808989,0.831670822943,0.76404494382,0.835411471322,0.831460674157,0.829177057357,0.840909090909,0.831880448319,0.0534296172154,0.00181433961643,0.0268797107995,0.00530913326252
0.270604681969,0.00170590877533,0.8204329815,0.833146327182,0.01,90,"{'n_estimators': 90, 'learning_rate': 0.01}",113,0.822222222222,0.835205992509,0.833333333333,0.832709113608,0.797752808989,0.836658354115,0.876404494382,0.829177057357,0.831460674157,0.829177057357,0.808988764045,0.835411471322,0.797752808989,0.834164588529,0.76404494382,0.835411471322,0.831460674157,0.829177057357,0.840909090909,0.834371108344,0.0369353228056,0.000903951611987,0.0288171531178,0.00277185353145
0.307120704651,0.00168051719666,0.821569345137,0.836388690216,0.01,100,"{'n_estimators': 100, 'learning_rate': 0.01}",91,0.822222222222,0.83645443196,0.833333333333,0.837702871411,0.797752808989,0.839152119701,0.865168539326,0.837905236908,0.831460674157,0.829177057357,0.820224719101,0.839152119701,0.797752808989,0.834164588529,0.76404494382,0.844139650873,0.831460674157,0.829177057357,0.852272727273,0.836861768369,0.0782923456175,0.000663973177829,0.0276105077988,0.00434243609564
0.340774941444,0.00233814716339,0.822680456248,0.838633857573,0.01,110,"{'n_estimators': 110, 'learning_rate': 0.01}",73,0.833333333333,0.843945068664,0.833333333333,0.83645443196,0.786516853933,0.84289276808,0.865168539326,0.837905236908,0.831460674157,0.832917705736,0.820224719101,0.84289276808,0.808988764045,0.834164588529,0.76404494382,0.844139650873,0.831460674157,0.834164588529,0.852272727273,0.836861768369,0.0580447926143,0.00185246603296,0.0282869480006,0.00419337057936
